   0.45000000  -1.54994320 
   0.50000000  -1.59951754 
   0.55000000  -1.63200062 
   0.60000000  -1.65250808 
   0.65000000  -1.66449117 
   0.70000000  -1.67033979 
   0.75000000  -1.67174379 
   0.80000000  -1.66992005 
   0.85000000  -1.66575269 
   0.90000000  -1.65989893 
   0.95000000  -1.65284821 
   1.00000000  -1.64496826 
   1.05000000  -1.63653868 
   1.10000000  -1.62776728 
   1.15000000  -1.61881600 
   1.20000000  -1.60980750 
   1.25000000  -1.60083549 
   1.30000000  -1.59197302 
   1.35000000  -1.58327205 
   1.40000000  -1.57477737 
   1.45000000  -1.56655086 
   1.50000000  -1.55869865 
   1.55000000  -1.55151969 
   1.60000000  -1.54503785 
   1.65000000  -1.53925241 
   1.70000000  -1.53410902 
   1.75000000  -1.52955607 
   1.80000000  -1.52554056 
   1.85000000  -1.52201001 
   1.90000000  -1.51891783 
   1.95000000  -1.51621467 
   2.00000000  -1.51385573 
   2.05000000  -1.51180011 
   2.10000000  -1.51001067 
   2.15000000  -1.50845399 
   2.20000000  -1.50710013 
   2.25000000  -1.50592239 
   2.30000000  -1.50489731 
   2.35000000  -1.50400462 
   2.40000000  -1.50322653 
   2.45000000  -1.50254823 
   2.50000000  -1.50195663 
   2.55000000  -1.50144018 
   2.60000000  -1.50098865 
   2.65000000  -1.50059299 
   2.70000000  -1.50024543 
   2.75000000  -1.49993945 
   2.80000000  -1.49966974 
   2.85000000  -1.49943189 
   2.90000000  -1.49922227 
   2.95000000  -1.49903766 
   3.00000000  -1.49886925 
   3.05000000  -1.49872701 
