   0.90000000   0.90000000 -224.69785838 
   0.90000000   1.00408163 -224.93755881 
   0.90000000   1.10816327 -225.05370773 
   0.90000000   1.21224490 -225.10772973 
   0.90000000   1.31632653 -225.13033279 
   0.90000000   1.42040816 -225.13618695 
   0.90000000   1.52448980 -225.13227084 
   0.90000000   1.62857143 -225.12250837 
   0.90000000   1.73265306 -225.10942799 
   0.90000000   1.83673469 -225.09475140 
   0.90000000   1.94081633 -225.07964928 
   0.90000000   2.04489796 -225.06482389 
   0.90000000   2.14897959 -225.05119853 
   0.90000000   2.25306122 -225.03860072 
   0.90000000   2.35714286 -225.02783223 
   0.90000000   2.46122449 -225.01883570 
   0.90000000   2.56530612 -225.01149916 
   0.90000000   2.66938776 -225.00526173 
   0.90000000   2.77346939 -225.00011542 
   0.90000000   2.87755102 -224.99583762 
   0.90000000   2.98163265 -224.99202959 
   0.90000000   3.08571429 -224.98870291 
   0.90000000   3.18979592 -224.98563044 
   0.90000000   3.29387755 -224.98310479 
   0.90000000   3.39795918 -224.98089368 
   0.90000000   3.50204082 -224.97899431 
   0.90000000   3.60612245 -224.97736597 
   0.90000000   3.71020408 -224.97594505 
   0.90000000   3.81428571 -224.97466860 
   0.90000000   3.91836735 -224.97349491 
   0.90000000   4.02244898 -224.97240552 
   0.90000000   4.12653061 -224.97139312 
   0.90000000   4.23061224 -224.97045516 
   0.90000000   4.33469388 -224.96959576 
   0.90000000   4.43877551 -224.96881843 
   0.90000000   4.54285714 -224.96812654 
   0.90000000   4.64693878 -224.96751082 
   0.90000000   4.75102041 -224.96696657 
   0.90000000   4.85510204 -224.96648847 
   0.90000000   4.95918367 -224.96605757 
   0.90000000   5.06326531 -224.96567272 
   0.90000000   5.16734694 -224.96532691 
   0.90000000   5.27142857 -224.96501408 
   0.90000000   5.37551020 -224.96473282 
   0.90000000   5.47959184 -224.96447161 
   0.90000000   5.58367347 -224.96423467 
   0.90000000   5.68775510 -224.96401277 
   0.90000000   5.79183673 -224.96380904 
   0.90000000   5.89591837 -224.96361701 
   0.90000000   6.00000000 -224.96343923 
   1.18888889   0.90000000 -225.09915231 
   1.18888889   1.00408163 -225.30003613 
   1.18888889   1.10816327 -225.38576650 
   1.18888889   1.21224490 -225.41475490 
   1.18888889   1.31632653 -225.41659388 
   1.18888889   1.42040816 -225.40604688 
   1.18888889   1.52448980 -225.39010757 
   1.18888889   1.62857143 -225.37204802 
   1.18888889   1.73265306 -225.35358095 
   1.18888889   1.83673469 -225.33568926 
   1.18888889   1.94081633 -225.31890347 
   1.18888889   2.04489796 -225.30366590 
   1.18888889   2.14897959 -225.29012231 
   1.18888889   2.25306122 -225.27873062 
   1.18888889   2.35714286 -225.26978724 
   1.18888889   2.46122449 -225.26174070 
