   0.90000000   0.90000000 -224.57399224 
   0.90000000   1.00408163 -224.81163628 
   0.90000000   1.10816327 -224.92482960 
   0.90000000   1.21224490 -224.97532135 
   0.90000000   1.31632653 -224.99419147 
   0.90000000   1.42040816 -224.99640874 
   0.90000000   1.52448980 -224.98926742 
   0.90000000   1.62857143 -224.97673134 
   0.90000000   1.73265306 -224.96128808 
   0.90000000   1.83673469 -224.94466701 
   0.90000000   1.94081633 -224.92803159 
   0.90000000   2.04489796 -224.91222452 
   0.90000000   2.14897959 -224.89792371 
   0.90000000   2.25306122 -224.88569634 
   0.90000000   2.35714286 -224.87552518 
   0.90000000   2.46122449 -224.86711730 
   0.90000000   2.56530612 -224.86005629 
   0.90000000   2.66938776 -224.85404256 
   0.90000000   2.77346939 -224.84889744 
   0.90000000   2.87755102 -224.84448769 
   0.90000000   2.98163265 -224.84068459 
   0.90000000   3.08571429 -224.83735858 
   0.90000000   3.18979592 -224.83442327 
   0.90000000   3.29387755 -224.83184760 
   0.90000000   3.39795918 -224.82958986 
   0.90000000   3.50204082 -224.82767135 
   0.90000000   3.60612245 -224.82600629 
   0.90000000   3.71020408 -224.82455003 
   0.90000000   3.81428571 -224.82323494 
   0.90000000   3.91836735 -224.82203332 
   0.90000000   4.02244898 -224.82092437 
   0.90000000   4.12653061 -224.81990507 
   0.90000000   4.23061224 -224.81897459 
   0.90000000   4.33469388 -224.81812635 
   0.90000000   4.43877551 -224.81734981 
   0.90000000   4.54285714 -224.81667665 
   0.90000000   4.64693878 -224.81606252 
   0.90000000   4.75102041 -224.81551936 
   0.90000000   4.85510204 -224.81503925 
   0.90000000   4.95918367 -224.81462062 
   0.90000000   5.06326531 -224.81424523 
   0.90000000   5.16734694 -224.81390739 
   0.90000000   5.27142857 -224.81362680 
   0.90000000   5.37551020 -224.81334249 
   0.90000000   5.47959184 -224.81309054 
   0.90000000   5.58367347 -224.81287940 
   0.90000000   5.68775510 -224.81266902 
   0.90000000   5.79183673 -224.81247681 
   0.90000000   5.89591837 -224.81230078 
   0.90000000   6.00000000 -224.81212736 
   1.18888889   0.90000000 -224.96750111 
   1.18888889   1.00408163 -225.16628567 
   1.18888889   1.10816327 -225.24928644 
   1.18888889   1.21224490 -225.27478950 
   1.18888889   1.31632653 -225.27294623 
   1.18888889   1.42040816 -225.25870002 
   1.18888889   1.52448980 -225.23932700 
   1.18888889   1.62857143 -225.21827691 
   1.18888889   1.73265306 -225.19731221 
   1.18888889   1.83673469 -225.17743560 
   1.18888889   1.94081633 -225.15920241 
   1.18888889   2.04489796 -225.14310175 
   1.18888889   2.14897959 -225.12974432 
   1.18888889   2.25306122 -225.11940177 
   1.18888889   2.35714286 -225.11167693 
   1.18888889   2.46122449 -225.10585335 
   1.18888889   2.56530612 -225.10132317 
   1.18888889   2.66938776 -225.09770546 
   1.18888889   2.77346939 -225.09474127 
   1.18888889   2.87755102 -225.09231254 
   1.18888889   2.98163265 -225.09036652 
   1.18888889   3.08571429 -225.08870241 
   1.18888889   3.18979592 -225.08728204 
