   1.02412825 180.00000000 -167.92846406 
   1.02412825 182.20000000 -167.92836192 
   1.02412825 184.40000000 -167.92799350 
   1.02412825 186.60000000 -167.92741872 
   1.02412825 188.80000000 -167.92688963 
   1.02412825 191.00000000 -167.92600647 
   1.02412825 193.20000000 -167.92490962 
   1.02412825 195.40000000 -167.92360827 
   1.02412825 197.60000000 -167.92209788 
   1.02412825 199.80000000 -167.92037424 
   1.02412825 202.00000000 -167.91843271 
   1.02412825 204.20000000 -167.91626762 
   1.02412825 206.40000000 -167.91387244 
   1.02412825 208.60000000 -167.91124010 
   1.02412825 210.80000000 -167.90836294 
   1.02412825 213.00000000 -167.90523214 
   1.02412825 215.20000000 -167.90183774 
   1.02412825 217.40000000 -167.89816908 
   1.02412825 219.60000000 -167.89421461 
   1.02412825 221.80000000 -167.88996165 
   1.02412825 224.00000000 -167.88539625 
   1.02412825 226.20000000 -167.88050349 
   1.02412825 228.40000000 -167.87526816 
   1.02412825 230.60000000 -167.86967515 
   1.02412825 232.80000000 -167.86370941 
   1.02412825 235.00000000 -167.85735662 
   1.07412825 180.00000000 -167.97146959 
   1.07412825 182.20000000 -167.97139451 
   1.07412825 184.40000000 -167.97109273 
   1.07412825 186.60000000 -167.97063279 
   1.07412825 188.80000000 -167.96996127 
   1.07412825 191.00000000 -167.96909883 
   1.07412825 193.20000000 -167.96804088 
   1.07412825 195.40000000 -167.96678430 
   1.07412825 197.60000000 -167.96532595 
   1.07412825 199.80000000 -167.96366201 
   1.07412825 202.00000000 -167.96178790 
   1.07412825 204.20000000 -167.95969831 
   1.07412825 206.40000000 -167.95738734 
   1.07412825 208.60000000 -167.95484809 
   1.07412825 210.80000000 -167.95207280 
   1.07412825 213.00000000 -167.94905311 
   1.07412825 215.20000000 -167.94577988 
   1.07412825 217.40000000 -167.94224267 
   1.07412825 219.60000000 -167.93842987 
   1.07412825 221.80000000 -167.93432870 
   1.07412825 224.00000000 -167.92992551 
   1.07412825 226.20000000 -167.92520576 
   1.07412825 228.40000000 -167.92015376 
   1.07412825 230.60000000 -167.91475283 
   1.07412825 232.80000000 -167.90898625 
   1.07412825 235.00000000 -167.90283810 
   1.12412825 180.00000000 -167.99715927 
   1.12412825 182.20000000 -167.99705889 
   1.12412825 184.40000000 -167.99676022 
   1.12412825 186.60000000 -167.99632089 
   1.12412825 188.80000000 -167.99566984 
   1.12412825 191.00000000 -167.99483346 
   1.12412825 193.20000000 -167.99380796 
   1.12412825 195.40000000 -167.99258991 
   1.12412825 197.60000000 -167.99117617 
   1.12412825 199.80000000 -167.98956336 
   1.12412825 202.00000000 -167.98774758 
   1.12412825 204.20000000 -167.98572385 
   1.12412825 206.40000000 -167.98348623 
   1.12412825 208.60000000 -167.98102822 
   1.12412825 210.80000000 -167.97834280 
   1.12412825 213.00000000 -167.97542191 
   1.12412825 215.20000000 -167.97225664 
   1.12412825 217.40000000 -167.96883703 
