   1.13190547 180.00000000 -167.88536582 
   1.13190547 175.00000000 -167.88518032 
   1.13190547 170.00000000 -167.88462847 
   1.13190547 165.00000000 -167.88373868 
   1.13190547 160.00000000 -167.88242061 
   1.13190547 155.00000000 -167.88068713 
   1.13190547 150.00000000 -167.87851198 
   1.13190547 145.00000000 -167.87586901 
   1.13190547 140.00000000 -167.87273762 
   1.13190547 135.00000000 -167.86911103 
   1.13190547 130.00000000 -167.86500669 
   1.13190547 125.00000000 -167.86048303 
   1.13190547 120.00000000 -167.85566878 
   1.13190547 115.00000000 -167.85079178 
   1.13190547 110.00000000 -167.84620098 
   1.13190547 105.00000000 -167.84236085 
   1.13190547 100.00000000 -167.83977357 
   1.13190547  95.00000000 -167.83883617 
   1.13190547  90.00000000 -167.83966432 
   1.13190547  85.00000000 -167.84197392 
   1.13190547  80.00000000 -167.84503474 
   1.13190547  75.00000000 -167.84785492 
   1.13190547  70.00000000 -167.84871923 
   1.13190547  65.00000000 -167.84497660 
   1.13190547  60.00000000 -167.83207986 
   1.13190547  55.00000000 -167.80221514 
   1.18190547 180.00000000 -167.89066599 
   1.18190547 175.00000000 -167.89052999 
   1.18190547 170.00000000 -167.89010495 
   1.18190547 165.00000000 -167.88943227 
   1.18190547 160.00000000 -167.88840542 
   1.18190547 155.00000000 -167.88703873 
   1.18190547 150.00000000 -167.88530264 
   1.18190547 145.00000000 -167.88316526 
   1.18190547 140.00000000 -167.88060030 
   1.18190547 135.00000000 -167.87759382 
   1.18190547 130.00000000 -167.87415607 
   1.18190547 125.00000000 -167.87033946 
   1.18190547 120.00000000 -167.86626854 
   1.18190547 115.00000000 -167.86210308 
   1.18190547 110.00000000 -167.85840713 
   1.18190547 105.00000000 -167.85545847 
   1.18190547 100.00000000 -167.85384088 
   1.18190547  95.00000000 -167.85395237 
   1.18190547  90.00000000 -167.85589615 
   1.18190547  85.00000000 -167.85938383 
   1.18190547  80.00000000 -167.86367971 
   1.18190547  75.00000000 -167.86794446 
   1.18190547  70.00000000 -167.87069350 
   1.18190547  65.00000000 -167.86961582 
   1.18190547  60.00000000 -167.86068507 
   1.18190547  55.00000000 -167.83653743 
   1.23190547 180.00000000 -167.88686514 
   1.23190547 175.00000000 -167.88676348 
   1.23190547 170.00000000 -167.88645399 
