  -0.20397500   0.99481500   2.20916000 -167.91558573 
  -0.20397500   0.99481500   2.25916000 -167.91310350 
  -0.20397500   0.99481500   2.30916000 -167.90687970 
  -0.20397500   0.99481500   2.35916000 -167.89818199 
  -0.20397500   0.99481500   2.40916000 -167.88789922 
  -0.20397500   0.99481500   2.45916000 -167.87665469 
  -0.20397500   0.99481500   2.50916000 -167.86488474 
  -0.20397500   0.99481500   2.55916000 -167.85290139 
  -0.20397500   0.99481500   2.60916000 -167.84094731 
  -0.20397500   1.04481500   2.20916000 -167.90979624 
  -0.20397500   1.04481500   2.25916000 -167.91199001 
  -0.20397500   1.04481500   2.30916000 -167.90866622 
  -0.20397500   1.04481500   2.35916000 -167.90168481 
  -0.20397500   1.04481500   2.40916000 -167.89234878 
  -0.20397500   1.04481500   2.45916000 -167.88155200 
  -0.20397500   1.04481500   2.50916000 -167.86990881 
  -0.20397500   1.04481500   2.55916000 -167.85784125 
  -0.20397500   1.04481500   2.60916000 -167.84564509 
  -0.20397500   1.09481500   2.20916000 -167.89205212 
  -0.20397500   1.09481500   2.25916000 -167.90149834 
  -0.20397500   1.09481500   2.30916000 -167.90278318 
  -0.20397500   1.09481500   2.35916000 -167.89859603 
  -0.20397500   1.09481500   2.40916000 -167.89084085 
  -0.20397500   1.09481500   2.45916000 -167.88083573 
  -0.20397500   1.09481500   2.50916000 -167.86948400 
  -0.20397500   1.09481500   2.55916000 -167.85739638 
  -0.20397500   1.09481500   2.60916000 -167.84498442 
  -0.20397500   1.14481500   2.20916000 -167.86065548 
  -0.20397500   1.14481500   2.25916000 -167.88091963 
  -0.20397500   1.14481500   2.30916000 -167.88938831 
  -0.20397500   1.14481500   2.35916000 -167.88977168 
  -0.20397500   1.14481500   2.40916000 -167.88472813 
  -0.20397500   1.14481500   2.45916000 -167.87618675 
  -0.20397500   1.14481500   2.50916000 -167.86548636 
  -0.20397500   1.14481500   2.55916000 -167.85354225 
  -0.20397500   1.14481500   2.60916000 -167.84096718 
  -0.20397500   1.19481500   2.20916000 -167.81212862 
  -0.20397500   1.19481500   2.25916000 -167.84805554 
  -0.20397500   1.19481500   2.30916000 -167.86732380 
  -0.20397500   1.19481500   2.35916000 -167.87486896 
  -0.20397500   1.19481500   2.40916000 -167.87435693 
  -0.20397500   1.19481500   2.45916000 -167.86846503 
  -0.20397500   1.19481500   2.50916000 -167.85912847 
  -0.20397500   1.19481500   2.55916000 -167.84771124 
  -0.20397500   1.19481500   2.60916000 -167.83514247 
  -0.20397500   1.24481500   2.20916000 -167.74109414 
  -0.20397500   1.24481500   2.25916000 -167.79921818 
  -0.20397500   1.24481500   2.30916000 -167.83409712 
  -0.20397500   1.24481500   2.35916000 -167.85238133 
  -0.20397500   1.24481500   2.40916000 -167.85901470 
  -0.20397500   1.24481500   2.45916000 -167.85760047 
  -0.20397500   1.24481500   2.50916000 -167.85086553 
  -0.20397500   1.24481500   2.55916000 -167.84072886 
  -0.20397500   1.24481500   2.60916000 -167.82857807 
