   1.13190547 180.00000000 -167.88539177 
   1.13190547 182.20000000 -167.88534543 
   1.13190547 184.40000000 -167.88524620 
   1.13190547 186.60000000 -167.88508655 
   1.13190547 188.80000000 -167.88486461 
   1.13190547 191.00000000 -167.88457872 
   1.13190547 193.20000000 -167.88425135 
   1.13190547 195.40000000 -167.88384060 
   1.13190547 197.60000000 -167.88386600 
   1.13190547 199.80000000 -167.88345840 
   1.13190547 202.00000000 -167.88298275 
   1.13190547 204.20000000 -167.88244735 
   1.13190547 206.40000000 -167.88184963 
   1.13190547 208.60000000 -167.88118660 
   1.13190547 210.80000000 -167.88045536 
   1.13190547 213.00000000 -167.87965272 
   1.13190547 215.20000000 -167.87877532 
   1.13190547 217.40000000 -167.87781986 
   1.13190547 219.60000000 -167.87678302 
   1.13190547 221.80000000 -167.87566154 
   1.13190547 224.00000000 -167.87445232 
   1.13190547 226.20000000 -167.87315219 
   1.13190547 228.40000000 -167.87175795 
   1.13190547 230.60000000 -167.87026671 
   1.13190547 232.80000000 -167.86867591 
   1.13190547 235.00000000 -167.86698345 
   1.18190547 180.00000000 -167.89071813 
   1.18190547 182.20000000 -167.89068360 
   1.18190547 184.40000000 -167.89063971 
   1.18190547 186.60000000 -167.89055846 
   1.18190547 188.80000000 -167.89044592 
   1.18190547 191.00000000 -167.89029869 
   1.18190547 193.20000000 -167.89011490 
   1.18190547 195.40000000 -167.88989326 
   1.18190547 197.60000000 -167.88963216 
   1.18190547 199.80000000 -167.88932946 
   1.18190547 202.00000000 -167.88898254 
   1.18190547 204.20000000 -167.88858878 
   1.18190547 206.40000000 -167.88814551 
   1.18190547 208.60000000 -167.88764957 
   1.18190547 210.80000000 -167.88709740 
   1.18190547 213.00000000 -167.88648556 
   1.18190547 215.20000000 -167.88581048 
   1.18190547 217.40000000 -167.88506843 
   1.18190547 219.60000000 -167.88425571 
   1.18190547 221.80000000 -167.88336845 
   1.18190547 224.00000000 -167.88240272 
   1.18190547 226.20000000 -167.88135487 
   1.18190547 228.40000000 -167.88022117 
