  -0.99880000   1.01140000 -167.71297511 
  -0.99880000   1.11509167 -167.79832408 
  -0.99880000   1.21878333 -167.82141632 
  -0.99880000   1.32247500 -167.81271131 
  -0.99880000   1.42616667 -167.78979193 
  -0.99880000   1.52985833 -167.76288578 
  -0.99880000   1.63355000 -167.73944944 
  -0.99880000   1.73724167 -167.72343540 
  -0.99880000   1.84093333 -167.71323981 
  -0.99880000   1.94462500 -167.70704278 
  -0.99880000   2.04831667 -167.70318811 
  -0.99880000   2.15200833 -167.70068341 
  -0.99880000   2.25570000 -167.69894243 
  -0.99880000   2.35939167 -167.69763375 
  -0.99880000   2.46308333 -167.69659525 
  -0.99880000   2.56677500 -167.69573589 
  -0.99880000   2.67046667 -167.69500677 
  -0.99880000   2.77415833 -167.69437446 
  -0.99880000   2.87785000 -167.69383084 
  -0.99880000   2.98154167 -167.69335219 
  -0.99880000   3.08523333 -167.69292379 
  -0.99880000   3.18892500 -167.69259638 
  -0.99880000   3.29261667 -167.69228928 
  -0.99880000   3.39630833 -167.69201255 
  -0.99880000   3.50000000 -167.69177734 
  -1.10301667   1.01140000 -167.80003106 
  -1.10301667   1.11509167 -167.87929214 
  -1.10301667   1.21878333 -167.89710736 
  -1.10301667   1.32247500 -167.88364964 
  -1.10301667   1.42616667 -167.85619313 
  -1.10301667   1.52985833 -167.82483725 
  -1.10301667   1.63355000 -167.79856584 
  -1.10301667   1.73724167 -167.78044232 
  -1.10301667   1.84093333 -167.76894929 
  -1.10301667   1.94462500 -167.76224930 
  -1.10301667   2.04831667 -167.75825245 
  -1.10301667   2.15200833 -167.75590914 
  -1.10301667   2.25570000 -167.75445744 
  -1.10301667   2.35939167 -167.75346767 
  -1.10301667   2.46308333 -167.75275646 
  -1.10301667   2.56677500 -167.75218365 
  -1.10301667   2.67046667 -167.75170127 
  -1.10301667   2.77415833 -167.75127664 
  -1.10301667   2.87785000 -167.75097578 
  -1.10301667   2.98154167 -167.75063116 
  -1.10301667   3.08523333 -167.75031395 
  -1.10301667   3.18892500 -167.75003935 
  -1.10301667   3.29261667 -167.74980084 
  -1.10301667   3.39630833 -167.74959125 
  -1.10301667   3.50000000 -167.74940834 
  -1.20723333   1.01140000 -167.82731060 
  -1.20723333   1.11509167 -167.90168477 
  -1.20723333   1.21878333 -167.91496076 
  -1.20723333   1.32247500 -167.89728393 
  -1.20723333   1.42616667 -167.86585106 
  -1.20723333   1.52985833 -167.83050908 
  -1.20723333   1.63355000 -167.80071413 
  -1.20723333   1.73724167 -167.77974551 
  -1.20723333   1.84093333 -167.76624294 
  -1.20723333   1.94462500 -167.75813852 
  -1.20723333   2.04831667 -167.75346634 
  -1.20723333   2.15200833 -167.75087921 
  -1.20723333   2.25570000 -167.74937016 
  -1.20723333   2.35939167 -167.74837110 
  -1.20723333   2.46308333 -167.74774736 
  -1.20723333   2.56677500 -167.74747095 
  -1.20723333   2.67046667 -167.74692208 
  -1.20723333   2.77415833 -167.74673397 
  -1.20723333   2.87785000 -167.74642493 
  -1.20723333   2.98154167 -167.74614480 
  -1.20723333   3.08523333 -167.74589160 
  -1.20723333   3.18892500 -167.74567046 
  -1.20723333   3.29261667 -167.74547870 
  -1.20723333   3.39630833 -167.74531081 
  -1.20723333   3.50000000 -167.74516393 
  -1.31145000   1.01140000 -167.82540920 
  -1.31145000   1.11509167 -167.89632581 
  -1.31145000   1.21878333 -167.90605456 
  -1.31145000   1.32247500 -167.88481219 
  -1.31145000   1.42616667 -167.84982244 
  -1.31145000   1.52985833 -167.81083380 
  -1.31145000   1.63355000 -167.77723673 
  -1.31145000   1.73724167 -167.75272169 
  -1.31145000   1.84093333 -167.73656638 
  -1.31145000   1.94462500 -167.72651563 
  -1.31145000   2.04831667 -167.72064351 
  -1.31145000   2.15200833 -167.71732116 
  -1.31145000   2.25570000 -167.71546937 
  -1.31145000   2.35939167 -167.71435029 
  -1.31145000   2.46308333 -167.71368668 
  -1.31145000   2.56677500 -167.71347544 
  -1.31145000   2.67046667 -167.71288409 
  -1.31145000   2.77415833 -167.71277018 
  -1.31145000   2.87785000 -167.71250361 
  -1.31145000   2.98154167 -167.71226165 
  -1.31145000   3.08523333 -167.71204631 
